boom_user_id,friends_count
bm_usr_000001,4
bm_usr_000002,8
bm_usr_000003,3
bm_usr_000004,5
bm_usr_000005,2
bm_usr_000006,2
bm_usr_000007,2
bm_usr_000008,3
bm_usr_000009,3
bm_usr_000010,7
bm_usr_000011,4
bm_usr_000012,3
bm_usr_000013,2
bm_usr_000014,5
bm_usr_000015,5
bm_usr_000016,5
bm_usr_000017,6
bm_usr_000018,2
bm_usr_000019,5
bm_usr_000020,6
bm_usr_000021,6
bm_usr_000022,2
bm_usr_000023,3
bm_usr_000024,3
bm_usr_000025,1
bm_usr_000026,4
bm_usr_000027,1
bm_usr_000028,3
bm_usr_000029,3
bm_usr_000030,13
bm_usr_000031,0
bm_usr_000032,4
bm_usr_000033,3
bm_usr_000034,2
bm_usr_000035,9
bm_usr_000036,5
bm_usr_000037,4
bm_usr_000038,0
bm_usr_000039,9
bm_usr_000040,0
bm_usr_000041,7
bm_usr_000042,4
bm_usr_000043,4
bm_usr_000044,5
bm_usr_000045,0
bm_usr_000046,4
bm_usr_000047,4
bm_usr_000048,1
bm_usr_000049,2
bm_usr_000050,1
bm_usr_000051,4
bm_usr_000052,4
bm_usr_000053,5
bm_usr_000054,3
bm_usr_000055,5
bm_usr_000056,2
bm_usr_000057,3
bm_usr_000058,5
bm_usr_000059,2
bm_usr_000060,7
bm_usr_000061,4
bm_usr_000062,3
bm_usr_000063,2
bm_usr_000064,3
bm_usr_000065,6
bm_usr_000066,16
bm_usr_000067,7
bm_usr_000068,4
bm_usr_000069,5
bm_usr_000070,5
bm_usr_000071,3
bm_usr_000072,5
bm_usr_000073,6
bm_usr_000074,0
bm_usr_000075,6
bm_usr_000076,5
bm_usr_000077,2
bm_usr_000078,7
bm_usr_000079,0
bm_usr_000080,1
bm_usr_000081,3
bm_usr_000082,4
bm_usr_000083,1
bm_usr_000084,8
bm_usr_000085,0
bm_usr_000086,1
bm_usr_000087,3
bm_usr_000088,8
bm_usr_000089,6
bm_usr_000090,2
bm_usr_000091,7
bm_usr_000092,3
bm_usr_000093,6
bm_usr_000094,3
bm_usr_000095,7
bm_usr_000096,5
bm_usr_000097,11
bm_usr_000098,7
bm_usr_000099,10
bm_usr_000100,1
bm_usr_000101,5
bm_usr_000102,8
bm_usr_000103,7
bm_usr_000104,1
bm_usr_000105,5
bm_usr_000106,10
bm_usr_000107,10
bm_usr_000108,0
bm_usr_000109,2
bm_usr_000110,4
bm_usr_000111,5
bm_usr_000112,6
bm_usr_000113,6
