boom_ticket_id,boom_user_id,event_id,type,source,created_at,used,date_used
bm_tkt_0000001,bm_usr_000001,bm_evt_0037,free,box_office,2026-01-04 12:00:00,true,2026-01-17 12:00:00
bm_tkt_0000002,bm_usr_000001,bm_evt_0017,standard,app,2025-12-02 12:00:00,true,2025-12-24 11:58:00
bm_tkt_0000003,bm_usr_000002,bm_evt_0031,membership,web,2026-06-05 12:00:00,true,2026-06-30 11:30:00
bm_tkt_0000004,bm_usr_000002,bm_evt_0017,membership,app,2026-01-31 12:00:00,true,2026-02-01 11:39:00
bm_tkt_0000005,bm_usr_000002,bm_evt_0034,membership,web,2026-01-03 12:00:00,true,2026-01-31 11:46:00
bm_tkt_0000006,bm_usr_000002,bm_evt_0003,membership,app,2026-01-30 12:00:00,true,2026-02-17 11:36:00
bm_tkt_0000007,bm_usr_000002,bm_evt_0005,membership,app,2026-06-28 12:00:00,true,2026-07-16 11:33:00
bm_tkt_0000008,bm_usr_000002,bm_evt_0040,standard,app,2026-06-23 12:00:00,true,2026-07-05 11:32:00
bm_tkt_0000009,bm_usr_000002,bm_evt_0024,membership,box_office,2026-06-13 12:00:00,true,2026-07-09 11:32:00
bm_tkt_0000010,bm_usr_000002,bm_evt_0036,free,referral,2026-02-06 12:00:00,false,
bm_tkt_0000011,bm_usr_000003,bm_evt_0013,standard,app,2026-06-06 12:00:00,true,2026-06-28 12:14:00
bm_tkt_0000012,bm_usr_000003,bm_evt_0003,standard,web,2026-07-05 12:00:00,false,
bm_tkt_0000013,bm_usr_000004,bm_evt_0006,standard,app,2026-01-30 12:00:00,true,2026-02-23 12:07:00
bm_tkt_0000014,bm_usr_000004,bm_evt_0059,free,box_office,2026-01-29 12:00:00,false,
bm_tkt_0000015,bm_usr_000004,bm_evt_0029,standard,box_office,2025-12-30 12:00:00,true,2026-01-01 12:16:00
bm_tkt_0000016,bm_usr_000005,bm_evt_0016,free,app,2025-12-17 12:00:00,true,2025-12-21 12:05:00
bm_tkt_0000017,bm_usr_000005,bm_evt_0003,standard,referral,2026-02-11 12:00:00,true,2026-02-15 11:37:00
bm_tkt_0000018,bm_usr_000006,bm_evt_0008,free,box_office,2026-03-20 12:00:00,true,2026-04-03 11:24:00
bm_tkt_0000019,bm_usr_000006,bm_evt_0008,free,box_office,2025-11-18 12:00:00,true,2025-12-09 11:20:00
bm_tkt_0000020,bm_usr_000006,bm_evt_0045,standard,referral,2026-05-18 12:00:00,false,
bm_tkt_0000021,bm_usr_000007,bm_evt_0043,membership,app,2026-02-23 12:00:00,true,2026-03-15 11:23:00
bm_tkt_0000022,bm_usr_000007,bm_evt_0004,free,app,2025-10-30 12:00:00,false,
bm_tkt_0000023,bm_usr_000007,bm_evt_0009,membership,app,2025-11-12 12:00:00,false,
bm_tkt_0000024,bm_usr_000007,bm_evt_0057,membership,referral,2026-01-29 12:00:00,true,2026-02-15 11:51:00
bm_tkt_0000025,bm_usr_000007,bm_evt_0011,standard,referral,2025-09-30 12:00:00,true,2025-10-11 11:27:00
bm_tkt_0000026,bm_usr_000008,bm_evt_0051,standard,app,2026-04-09 12:00:00,true,2026-04-26 11:48:00
bm_tkt_0000027,bm_usr_000008,bm_evt_0009,free,app,2026-01-15 12:00:00,true,2026-02-09 11:47:00
bm_tkt_0000028,bm_usr_000008,bm_evt_0044,standard,box_office,2026-01-28 12:00:00,true,2026-02-12 11:42:00
bm_tkt_0000029,bm_usr_000009,bm_evt_0025,standard,web,2026-05-14 12:00:00,false,
bm_tkt_0000030,bm_usr_000009,bm_evt_0024,free,web,2026-07-23 12:00:00,true,2026-08-05 12:08:00
bm_tkt_0000031,bm_usr_000010,bm_evt_0054,membership,web,2026-06-28 12:00:00,true,2026-07-18 12:09:00
bm_tkt_0000032,bm_usr_000010,bm_evt_0019,free,app,2026-06-12 12:00:00,true,2026-06-27 12:15:00
bm_tkt_0000033,bm_usr_000010,bm_evt_0051,standard,referral,2026-05-21 12:00:00,true,2026-05-31 11:33:00
bm_tkt_0000034,bm_usr_000010,bm_evt_0006,membership,web,2026-04-08 12:00:00,false,
bm_tkt_0000035,bm_usr_000010,bm_evt_0060,membership,web,2026-03-22 12:00:00,true,2026-04-16 12:08:00
bm_tkt_0000036,bm_usr_000010,bm_evt_0004,membership,box_office,2025-11-18 12:00:00,true,2025-11-24 11:32:00
bm_tkt_0000037,bm_usr_000010,bm_evt_0056,membership,box_office,2026-06-22 12:00:00,true,2026-07-06 12:20:00
bm_tkt_0000038,bm_usr_000010,bm_evt_0054,free,app,2026-03-26 12:00:00,false,
bm_tkt_0000039,bm_usr_000011,bm_evt_0043,standard,app,2026-04-27 12:00:00,true,2026-05-26 12:05:00
bm_tkt_0000040,bm_usr_000011,bm_evt_0024,standard,app,2025-11-25 12:00:00,true,2025-12-09 12:14:00
bm_tkt_0000041,bm_usr_000011,bm_evt_0054,standard,referral,2025-07-11 12:00:00,true,2025-07-27 11:16:00
bm_tkt_0000042,bm_usr_000011,bm_evt_0038,free,box_office,2025-08-25 12:00:00,false,
bm_tkt_0000043,bm_usr_000011,bm_evt_0032,standard,box_office,2025-07-02 12:00:00,true,2025-07-04 11:43:00
bm_tkt_0000044,bm_usr_000012,bm_evt_0056,standard,referral,2025-11-12 12:00:00,false,
bm_tkt_0000045,bm_usr_000012,bm_evt_0018,membership,app,2026-04-29 12:00:00,true,2026-05-11 12:05:00
bm_tkt_0000046,bm_usr_000012,bm_evt_0034,free,app,2026-07-11 12:00:00,true,2026-07-15 11:42:00
bm_tkt_0000047,bm_usr_000012,bm_evt_0012,membership,app,2026-06-13 12:00:00,true,2026-06-30 11:15:00
bm_tkt_0000048,bm_usr_000012,bm_evt_0058,membership,app,2025-12-14 12:00:00,false,
bm_tkt_0000049,bm_usr_000012,bm_evt_0006,membership,referral,2026-07-12 12:00:00,true,2026-08-10 11:53:00
bm_tkt_0000050,bm_usr_000012,bm_evt_0021,membership,box_office,2025-10-09 12:00:00,true,2025-10-20 11:17:00
bm_tkt_0000051,bm_usr_000012,bm_evt_0038,standard,referral,2026-01-25 12:00:00,true,2026-02-12 12:02:00
bm_tkt_0000052,bm_usr_000012,bm_evt_0044,membership,referral,2026-03-21 12:00:00,false,
bm_tkt_0000053,bm_usr_000012,bm_evt_0043,free,app,2026-06-21 12:00:00,false,
