artist_id,name,home_city,residency_venue,residency_weekday
ft_art_001,Mala Hora,Bogotá,Casa E,viernes
ft_art_002,Micrófono Suelto,Bogotá,Ace of Clubs,martes
ft_art_003,Doble Sentido,Medellín,La Pascasia,jueves
ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,miércoles
ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,sábado
ft_art_006,Sin Filtro,Bogotá,,
ft_art_007,Cuento Corto,Medellín,,
ft_art_008,Los del Fondo,Cali,,
ft_art_009,Roast de Medianoche,Bogotá,,
ft_art_010,Tres Sillas,Barranquilla,,
ft_art_011,Comedia de Barrio,Bucaramanga,,
ft_art_012,Segunda Función,Pereira,,
ft_art_013,El Recreo,Cartagena,,
ft_art_014,Últimas Filas,Manizales,,
