ticket_id,sale_id,event_id,ticket_type,price,checked_in,checked_in_at
ft_tkt_0000001,ft_sal_000001,ft_evt_0027,VIP,150000,true,2026-07-01 20:47:00
ft_tkt_0000002,ft_sal_000001,ft_evt_0027,VIP,150000,false,
ft_tkt_0000003,ft_sal_000001,ft_evt_0027,VIP,150000,false,
ft_tkt_0000004,ft_sal_000002,ft_evt_0027,Cortesía,0,false,
ft_tkt_0000005,ft_sal_000003,ft_evt_0027,General,62000,true,2026-07-01 19:51:00
ft_tkt_0000006,ft_sal_000004,ft_evt_0027,General,45000,true,2026-07-01 19:51:00
ft_tkt_0000007,ft_sal_000004,ft_evt_0027,General,45000,false,
ft_tkt_0000008,ft_sal_000005,ft_evt_0027,General,55000,true,2026-07-01 20:44:00
ft_tkt_0000009,ft_sal_000005,ft_evt_0027,General,55000,true,2026-07-01 20:46:00
ft_tkt_0000010,ft_sal_000006,ft_evt_0027,VIP,135000,true,2026-07-01 20:11:00
ft_tkt_0000011,ft_sal_000006,ft_evt_0027,VIP,135000,false,
ft_tkt_0000012,ft_sal_000007,ft_evt_0027,General,47000,true,2026-07-01 20:04:00
ft_tkt_0000013,ft_sal_000008,ft_evt_0027,General,58000,false,
ft_tkt_0000014,ft_sal_000008,ft_evt_0027,General,58000,true,2026-07-01 20:22:00
ft_tkt_0000015,ft_sal_000008,ft_evt_0027,General,58000,false,
ft_tkt_0000016,ft_sal_000009,ft_evt_0027,General,63000,false,
ft_tkt_0000017,ft_sal_000010,ft_evt_0027,General,43000,true,2026-07-01 20:52:00
ft_tkt_0000018,ft_sal_000011,ft_evt_0027,General,59000,true,2026-07-01 20:54:00
ft_tkt_0000019,ft_sal_000011,ft_evt_0027,General,59000,true,2026-07-01 20:43:00
ft_tkt_0000020,ft_sal_000012,ft_evt_0027,VIP,132000,false,
ft_tkt_0000021,ft_sal_000012,ft_evt_0027,VIP,132000,false,
ft_tkt_0000022,ft_sal_000012,ft_evt_0027,VIP,132000,true,2026-07-01 20:39:00
ft_tkt_0000023,ft_sal_000012,ft_evt_0027,VIP,132000,false,
ft_tkt_0000024,ft_sal_000013,ft_evt_0027,General,64000,false,
ft_tkt_0000025,ft_sal_000013,ft_evt_0027,General,64000,true,2026-07-01 20:18:00
ft_tkt_0000026,ft_sal_000014,ft_evt_0027,Cortesía,0,false,
ft_tkt_0000027,ft_sal_000014,ft_evt_0027,Cortesía,0,false,
ft_tkt_0000028,ft_sal_000014,ft_evt_0027,Cortesía,0,false,
ft_tkt_0000029,ft_sal_000014,ft_evt_0027,Cortesía,0,false,
ft_tkt_0000030,ft_sal_000015,ft_evt_0027,Preferencial,99000,true,2026-07-01 20:02:00
ft_tkt_0000031,ft_sal_000016,ft_evt_0027,Preferencial,90000,true,2026-07-01 20:23:00
ft_tkt_0000032,ft_sal_000017,ft_evt_0027,Preferencial,96000,false,
ft_tkt_0000033,ft_sal_000018,ft_evt_0027,General,62000,true,2026-07-01 20:44:00
ft_tkt_0000034,ft_sal_000018,ft_evt_0027,General,62000,true,2026-07-01 19:52:00
ft_tkt_0000035,ft_sal_000019,ft_evt_0027,VIP,134000,true,2026-07-01 20:40:00
ft_tkt_0000036,ft_sal_000020,ft_evt_0027,Preferencial,95000,true,2026-07-01 20:37:00
ft_tkt_0000037,ft_sal_000020,ft_evt_0027,Preferencial,95000,true,2026-07-01 20:39:00
ft_tkt_0000038,ft_sal_000020,ft_evt_0027,Preferencial,95000,true,2026-07-01 19:43:00
ft_tkt_0000039,ft_sal_000020,ft_evt_0027,Preferencial,95000,true,2026-07-01 20:25:00
ft_tkt_0000040,ft_sal_000021,ft_evt_0027,General,44000,true,2026-07-01 20:35:00
ft_tkt_0000041,ft_sal_000021,ft_evt_0027,General,44000,true,2026-07-01 20:26:00
ft_tkt_0000042,ft_sal_000021,ft_evt_0027,General,44000,true,2026-07-01 20:29:00
ft_tkt_0000043,ft_sal_000022,ft_evt_0027,Preferencial,96000,true,2026-07-01 20:49:00
ft_tkt_0000044,ft_sal_000022,ft_evt_0027,Preferencial,96000,true,2026-07-01 20:26:00
ft_tkt_0000045,ft_sal_000022,ft_evt_0027,Preferencial,96000,false,
ft_tkt_0000046,ft_sal_000023,ft_evt_0027,VIP,138000,false,
ft_tkt_0000047,ft_sal_000024,ft_evt_0027,Preferencial,93000,true,2026-07-01 20:14:00
ft_tkt_0000048,ft_sal_000024,ft_evt_0027,Preferencial,93000,true,2026-07-01 20:51:00
ft_tkt_0000049,ft_sal_000024,ft_evt_0027,Preferencial,93000,true,2026-07-01 20:43:00
ft_tkt_0000050,ft_sal_000025,ft_evt_0027,General,42000,true,2026-07-01 20:04:00
ft_tkt_0000051,ft_sal_000025,ft_evt_0027,General,42000,true,2026-07-01 20:49:00
ft_tkt_0000052,ft_sal_000025,ft_evt_0027,General,42000,false,
ft_tkt_0000053,ft_sal_000025,ft_evt_0027,General,42000,false,
ft_tkt_0000054,ft_sal_000026,ft_evt_0027,Preferencial,94000,true,2026-07-01 20:45:00
ft_tkt_0000055,ft_sal_000026,ft_evt_0027,Preferencial,94000,true,2026-07-01 20:35:00
ft_tkt_0000056,ft_sal_000027,ft_evt_0027,Cortesía,0,true,2026-07-01 19:53:00
ft_tkt_0000057,ft_sal_000028,ft_evt_0027,General,60000,false,
ft_tkt_0000058,ft_sal_000029,ft_evt_0027,General,47000,false,
ft_tkt_0000059,ft_sal_000030,ft_evt_0027,General,53000,false,
ft_tkt_0000060,ft_sal_000031,ft_evt_0027,General,53000,true,2026-07-01 20:33:00
