event_id,expected_attendance,p10,p90
ft_evt_0006,48.6,38.7,56.8
ft_evt_0007,31.4,21.5,39.6
ft_evt_0008,51.7,41.9,58.0
ft_evt_0009,33.0,23.2,37.0
ft_evt_0014,77.8,67.9,86.0
ft_evt_0015,77.5,67.6,85.7
ft_evt_0016,48.7,38.8,56.9
ft_evt_0017,34.5,24.6,42.7
ft_evt_0023,164.3,154.4,172.5
ft_evt_0024,66.8,57.0,75.1
ft_evt_0025,87.9,78.0,96.1
ft_evt_0026,54.3,44.5,62.6
ft_evt_0032,153.9,144.0,162.1
ft_evt_0033,74.4,64.6,82.6
ft_evt_0034,46.6,36.8,54.8
ft_evt_0035,54.1,44.3,62.3
ft_evt_0040,99.8,89.9,108.0
ft_evt_0041,76.9,67.0,85.1
ft_evt_0042,56.9,47.0,65.1
ft_evt_0043,25.1,15.2,33.3
ft_evt_0044,47.3,37.4,55.5
ft_evt_0046,317.5,307.6,325.7
ft_evt_0048,161.6,151.7,169.8
ft_evt_0050,389.2,379.3,397.4
ft_evt_0052,318.7,308.8,326.9
ft_evt_0054,96.1,86.2,104.3
ft_evt_0056,350.3,340.4,358.5
ft_evt_0058,105.6,95.8,113.8
ft_evt_0060,231.6,221.8,239.8
ft_evt_0062,105.3,95.4,113.5
