event_id,event_title,event_artist_name,event_starts_at,event_ticket_count,expected_ticket_type_baseline,expected_logistic_regression,expected_catboost,expected_xgboost
ft_evt_0006,MALA HORA — RESIDENCIA VIERNES,MALA HORA,2026-08-07T20:30:00+00:00,122.0,47.711314887085486,64.81863862432807,48.57932835354162,53.33453521132469
ft_evt_0007,MALA HORA — RESIDENCIA VIERNES,MALA HORA,2026-08-14T20:30:00+00:00,78.0,30.50395541961203,41.896395582402036,31.374239857000447,34.589657574892044
ft_evt_0008,MALA HORA — RESIDENCIA VIERNES,MALA HORA,2026-08-21T20:00:00+00:00,58.0,52.11031110299972,50.95409798921266,51.72194211979106,51.46556770801544
ft_evt_0009,MALA HORA — RESIDENCIA VIERNES,MALA HORA,2026-08-28T20:30:00+00:00,37.0,32.979195812353204,31.278409810413226,33.01606647778937,32.859685838222504
ft_evt_0014,MICRÓFONO SUELTO — RESIDENCIA MARTES,MICRÓFONO SUELTO,2026-08-04T20:00:00+00:00,120.0,83.44174682104219,71.37155668937208,77.80776094550848,76.0365879163146
ft_evt_0015,MICRÓFONO SUELTO — RESIDENCIA MARTES,MICRÓFONO SUELTO,2026-08-11T20:00:00+00:00,115.0,82.55880275791313,68.5124728131212,77.50025812245269,76.21341021358967
ft_evt_0016,MICRÓFONO SUELTO — RESIDENCIA MARTES,MICRÓFONO SUELTO,2026-08-18T20:00:00+00:00,88.0,55.64442577331426,42.92433770282736,48.65847524238106,50.18329758942127
ft_evt_0017,MICRÓFONO SUELTO — RESIDENCIA MARTES,MICRÓFONO SUELTO,2026-08-25T20:30:00+00:00,48.0,36.727955462268426,29.538322448162532,34.50625952061225,33.7950234413147
ft_evt_0023,DOBLE SENTIDO — RESIDENCIA JUEVES,DOBLE SENTIDO,2026-08-06T20:30:00+00:00,192.0,162.25238966114784,169.19696708644787,164.29601419627997,167.4591763317585
ft_evt_0024,DOBLE SENTIDO — RESIDENCIA JUEVES,DOBLE SENTIDO,2026-08-13T20:30:00+00:00,80.0,65.05826614744367,66.6187981934235,66.84681358506211,67.94288897514343
ft_evt_0025,DOBLE SENTIDO — RESIDENCIA JUEVES,DOBLE SENTIDO,2026-08-20T20:00:00+00:00,98.0,87.91824381176254,87.13752416666247,87.87779377701219,86.44326075911522
ft_evt_0026,DOBLE SENTIDO — RESIDENCIA JUEVES,DOBLE SENTIDO,2026-08-27T20:30:00+00:00,63.0,54.060241639480154,52.236351778024556,54.3478864805749,54.06159229576588
ft_evt_0032,LA BODEGA IMPROVISA — RESIDENCIA MIÉRCOLES,LA BODEGA IMPROVISA,2026-08-05T20:00:00+00:00,201.0,152.64267879673707,157.0319405960125,153.85273997307223,153.3769040554762
ft_evt_0033,LA BODEGA IMPROVISA — RESIDENCIA MIÉRCOLES,LA BODEGA IMPROVISA,2026-08-12T20:30:00+00:00,88.0,73.08925205207747,70.92841127057363,74.42847088858558,74.70544844865799
ft_evt_0034,LA BODEGA IMPROVISA — RESIDENCIA MIÉRCOLES,LA BODEGA IMPROVISA,2026-08-19T20:00:00+00:00,61.0,46.180042624572515,45.895150931784414,46.61711634506683,44.99632641673088
ft_evt_0035,LA BODEGA IMPROVISA — RESIDENCIA MIÉRCOLES,LA BODEGA IMPROVISA,2026-08-26T20:30:00+00:00,67.0,53.99845769904186,49.96181628557329,54.12330641087942,53.03893047571182
ft_evt_0040,TRASNOCHE CALI — RESIDENCIA SÁBADO,TRASNOCHE CALI,2026-08-01T20:00:00+00:00,118.0,96.85683782560712,99.69512223402702,99.79976459098451,99.13163334131241
ft_evt_0041,TRASNOCHE CALI — RESIDENCIA SÁBADO,TRASNOCHE CALI,2026-08-08T20:30:00+00:00,94.0,75.99883361453716,75.68972707690202,76.90706110226019,76.18341746926308
